,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PIRATIO,B,LSTAT,MEDV
37,0.08014,0,5.96,0,0.499,5.85,77.7,3.9342,5,279,19.2,391.34,8.77,21
38,0.17505,0,5.96,0,0.499,5.966,77.7,3.8473,5,335,19.2,393.43,10.13,24.7
39,0.02763,75,2.95,0,0.428,6.205,21.8,5.4011,5,252,18.3,395.63,4.32,30.8
40,0.03359,0,2.95,0,0.428,7.024,15.8,5.4011,5,252,18.3,395.62,1.98,34.9
41,0.12744,0,6.91,0,0.448,6.77,2.9,5.7209,3,233,17.9,385.41,4.84,26.6
42,0.1415,0,6.91,0,0.448,6.205,77.7,5.7209,3,335,17.9,383.37,5.81,25.3
43,0.15936,0,6.91,0,0.448,6.205,6.5,5.7209,3,233,17.9,391.34,11.265,24.7
44,0.12269,0,6.91,0,0.448,6.069,40,5.7209,3,233,17.9,389.39,9.55,21.2
45,0.17142,0,6.91,0,0.448,5.682,33.8,5.1004,5,233,17.9,396.9,10.21,19.3
46,0.18836,0,9.69,0,0.448,5.786,33.3,5.1004,3,233,17.9,396.9,11.265,20
47,0.22927,0,9.69,0,0.448,6.03,77.7,5.6894,3,233,17.9,392.74,18.8,16.6
48,0.25387,0,6.91,0,0.448,5.399,95.3,3.1025,3,233,17.9,396.9,11.265,14.4
49,0.21977,0,9.69,0,0.448,5.602,62,3.1025,3,233,17.9,396.9,16.2,19.4
50,0.26938,21,9.69,0,0.439,5.963,45.7,6.8147,4,243,16.8,395.56,13.45,19.7
51,0.26938,21,5.64,0,0.538,6.115,63,3.1025,4,335,16.8,393.97,9.43,20.5
52,0.0536,21,5.64,0,0.439,6.205,21.1,3.1025,4,243,16.8,396.9,5.28,25
53,0.04981,21,5.64,0,0.439,5.998,21.4,6.8147,4,243,16.8,396.9,8.43,23.4
54,0.0136,75,4,0,0.41,5.888,47.6,7.3197,3,469,21.1,391.34,14.8,18.9
55,0.01311,0,1.22,0,0.403,6.205,21.9,8.6966,5,226,17.9,395.93,4.81,35.4
56,0.02055,85,0.74,0,0.41,6.383,77.7,9.1876,2,313,17.3,391.34,5.77,24.7
57,0.01432,100,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,392.9,3.95,31.6
58,0.15445,25,5.13,0,0.453,6.145,29.2,3.1025,5,284,19.05,390.68,6.86,23.3
59,0.10328,25,5.13,0,0.453,5.927,77.7,6.932,8,284,19.7,396.9,9.22,19.6
60,0.14932,25,9.69,0,0.453,5.741,66.2,7.2254,8,284,19.05,395.11,11.265,18.7
61,0.17171,25,9.69,0,0.538,5.966,77.7,3.1025,8,284,19.05,378.08,14.44,16
62,0.26938,25,5.13,0,0.453,6.456,67.8,7.2255,8,335,19.05,396.9,6.73,22.2
63,0.26938,25,5.13,0,0.453,6.762,43.4,7.9809,8,335,19.7,395.58,9.5,25
64,0.01951,17.5,1.38,0,0.4161,6.205,59.5,9.2229,5,216,18.6,393.24,8.05,33
65,0.03584,80,3.37,0,0.398,6.29,17.8,6.6115,5,337,16.1,396.9,4.67,23.5
66,0.04379,80,3.37,0,0.398,5.787,31.1,6.6115,4,337,19.05,396.9,10.24,19.4
67,0.05789,12.5,6.07,0,0.409,6.205,77.7,6.498,4,345,18.9,396.21,8.1,22
68,0.13554,12.5,6.07,0,0.538,5.594,36.8,6.498,5,345,18.9,396.9,13.09,17.4
69,0.12816,12.5,9.69,0,0.409,5.885,33,6.498,4,345,18.9,396.9,8.79,20.9
70,0.08826,0,10.81,0,0.413,6.417,6.6,5.2873,4,305,19.2,383.73,6.72,24.2
71,0.15876,0,9.69,0,0.413,5.961,17.5,5.2873,4,305,19.2,376.94,9.88,21.7
72,0.09164,0,9.69,0,0.538,6.065,7.8,5.2873,5,335,19.05,390.91,5.52,22.8
73,0.19539,0,10.81,0,0.413,6.205,6.2,3.1025,4,305,19.2,377.17,7.54,23.4
74,0.07896,0,12.83,0,0.437,6.273,77.7,4.2515,5,398,18.7,394.92,6.78,24.1
75,0.26938,0,12.83,0,0.437,6.286,45,4.5026,5,398,18.7,383.23,11.265,21.4
76,0.10153,0,12.83,0,0.437,6.279,74.5,4.0522,5,398,18.7,373.66,11.97,20
77,0.08707,0,12.83,0,0.437,6.14,45.8,4.0905,5,398,19.05,386.96,11.265,20.8
78,0.05646,0,9.69,0,0.437,6.232,53.7,5.0141,5,398,18.7,386.4,12.34,21.2
79,0.08387,0,9.69,0,0.437,5.874,36.6,4.5026,5,398,18.7,396.06,9.1,20.3
80,0.04113,25,9.69,0,0.426,6.727,33.5,5.4007,4,281,19,396.9,5.29,28
81,0.04462,25,4.86,0,0.538,6.619,77.7,5.4007,5,335,19.05,395.63,7.22,23.9
82,0.03659,0,9.69,0,0.426,6.205,32.2,5.4007,4,281,19.05,396.9,6.72,24.8
83,0.03551,25,4.86,0,0.426,6.205,46.7,3.1025,4,281,19.05,391.34,7.51,22.9
84,0.05059,0,4.49,0,0.538,6.389,48,4.7794,3,247,18.5,396.9,9.62,23.9
85,0.05735,0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,392.3,11.265,26.6
86,0.05188,0,4.49,0,0.449,6.015,45.1,4.4272,3,335,18.5,391.34,11.265,22.5
87,0.07151,0,4.49,0,0.538,6.121,56.8,3.7476,5,247,18.5,395.15,8.44,22.2
88,0.26938,0,3.41,0,0.489,7.007,86.3,3.1025,2,270,17.8,396.9,5.5,23.6
89,0.05302,0,9.69,0,0.538,7.079,77.7,3.4145,2,270,17.8,396.06,5.7,28.7
90,0.04684,0,3.41,0,0.489,6.417,66.1,3.0923,2,270,17.8,392.18,8.81,22.6
91,0.03932,0,3.41,0,0.489,6.205,77.7,3.0921,2,270,17.8,393.55,11.265,22
92,0.04203,28,15.04,0,0.464,6.442,53.6,3.6659,4,335,18.2,391.34,8.16,22.9
93,0.02875,28,15.04,0,0.538,6.211,28.9,3.6659,4,270,18.2,396.33,6.21,25
94,0.26938,28,15.04,0,0.538,6.249,77.3,3.615,5,270,18.2,396.9,11.265,20.6
95,0.26938,0,2.89,0,0.445,6.205,57.8,3.4952,2,276,18,357.98,6.65,28.4
96,0.11504,0,9.69,0,0.445,6.163,77.7,3.4952,2,276,18,391.34,11.265,21.4
97,0.12083,0,2.89,0,0.445,8.069,77.7,3.4952,2,276,18,396.9,4.21,38.7
98,0.08187,0,2.89,0,0.445,7.82,36.9,3.4952,2,276,18,393.53,3.57,43.8
99,0.0686,0,9.69,0,0.445,7.416,62.5,3.4952,2,276,18,396.9,11.265,33.2
100,0.14866,0,8.56,0,0.52,6.205,77.7,2.7778,5,384,20.9,394.76,9.42,27.5
101,0.11432,0,9.69,0,0.538,6.781,71.3,2.8561,5,384,20.9,395.58,7.67,26.5
102,0.22876,0,8.56,0,0.52,6.205,85.4,3.1025,5,384,20.9,391.34,10.63,18.6
103,0.26938,0,8.56,0,0.52,6.137,87.4,2.7147,5,384,20.9,391.34,13.44,19.3
104,0.1396,0,8.56,0,0.52,6.167,90,2.421,5,384,20.9,392.69,12.33,20.1
105,0.13262,0,8.56,0,0.52,5.851,77.7,2.1069,5,384,20.9,394.05,16.47,19.5
106,0.1712,0,8.56,0,0.52,5.836,91.9,2.211,5,384,19.05,395.67,18.66,19.5
107,0.13117,0,8.56,0,0.52,6.127,85.2,2.1224,5,384,20.9,387.69,14.09,20.4
108,0.12802,0,8.56,0,0.52,6.474,97.1,2.4329,5,335,19.05,391.34,11.265,19.8
109,0.26363,0,8.56,0,0.52,6.229,91.2,2.5451,5,335,20.9,391.34,15.55,19.4
110,0.10793,0,8.56,0,0.52,6.195,54.4,2.7778,5,384,19.05,391.34,13,21.7
111,0.10084,0,10.01,0,0.538,6.715,77.7,2.6775,6,335,17.8,391.34,10.16,22.8
112,0.12329,0,10.01,0,0.547,5.913,77.7,2.3534,6,432,17.8,394.95,11.265,18.8
113,0.22212,0,10.01,0,0.547,6.092,95.4,2.548,6,432,17.8,396.9,11.265,18.7
114,0.14231,0,10.01,0,0.547,6.254,84.2,3.1025,6,432,17.8,391.34,10.45,18.5
115,0.17134,0,10.01,0,0.547,5.928,88.2,2.4631,6,335,17.8,344.91,15.76,18.3
116,0.13158,0,10.01,0,0.547,6.176,72.5,2.7301,6,432,17.8,393.3,12.04,21.2
117,0.15098,0,10.01,0,0.547,6.021,77.7,2.7474,6,432,19.05,394.51,10.3,19.2
118,0.13058,0,10.01,0,0.547,5.872,73.1,3.1025,6,432,17.8,338.63,15.37,20.4
119,0.14476,0,10.01,0,0.547,5.731,65.2,3.1025,5,432,17.8,391.5,13.61,19.3
120,0.26938,0,25.65,0,0.538,5.87,69.7,3.1025,2,335,19.1,389.15,14.37,22
121,0.07165,0,25.65,0,0.581,6.205,84.1,2.1974,2,188,19.05,391.34,14.27,20.3
122,0.26938,0,25.65,0,0.581,5.961,92.9,2.0869,2,188,19.1,391.34,11.265,20.5
123,0.26938,0,25.65,0,0.581,5.856,97,1.9444,2,188,19.1,370.31,25.41,17.3
124,0.09849,0,25.65,0,0.581,6.205,95.8,2.0063,2,188,19.1,379.38,11.265,18.8
125,0.16902,0,25.65,0,0.581,5.986,88.4,3.1025,2,188,19.1,385.02,14.81,21.4
126,0.38735,0,25.65,0,0.581,5.613,95.6,1.7572,2,188,19.1,359.29,27.26,15.7
127,0.25915,0,21.89,0,0.624,5.693,96,1.7883,4,437,21.2,392.11,17.19,16.2
128,0.32543,0,9.69,0,0.538,6.431,98.8,1.8125,4,437,19.05,396.9,15.39,18
129,0.88125,0,21.89,0,0.538,5.637,94.7,1.9799,4,437,19.05,396.9,18.34,14.3
130,0.34006,0,9.69,0,0.624,6.458,98.9,2.1185,5,437,21.2,395.04,12.6,19.2
131,1.19294,0,9.69,0,0.624,6.326,77.7,3.1025,5,437,21.2,391.34,12.26,19.6
132,0.59005,0,9.69,0,0.538,6.372,97.9,2.3274,4,437,21.2,385.76,11.265,23
133,0.32982,0,9.69,0,0.538,5.822,95.4,2.4699,4,437,21.2,388.69,15.03,18.4
134,0.26938,0,21.89,0,0.624,5.757,98.4,2.346,4,437,21.2,262.76,17.31,15.6
135,0.55778,0,21.89,0,0.624,6.335,98.2,2.1107,4,437,21.2,394.67,16.96,18.1
136,0.32264,0,21.89,0,0.624,5.942,93.5,1.9669,4,437,21.2,378.25,16.9,17.4
137,0.35233,0,21.89,0,0.538,6.205,98.4,1.8498,5,437,21.2,394.08,14.59,17.1
138,0.2498,0,21.89,0,0.624,5.857,77.7,1.6686,4,437,21.2,392.04,21.32,13.3
139,0.54452,0,21.89,0,0.624,6.151,77.7,1.6687,4,437,21.2,391.34,11.265,17.8
140,0.2909,0,21.89,0,0.624,6.205,77.7,1.6119,5,437,21.2,391.34,24.16,14
141,1.62864,0,21.89,0,0.538,5.019,100,1.4394,5,437,21.2,396.9,34.41,14.4
142,3.32105,0,19.58,1,0.538,6.205,100,1.3216,5,403,19.05,396.9,26.82,13.4
143,0.26938,0,19.58,0,0.871,5.468,100,3.1025,5,403,19.05,396.9,11.265,15.6
144,2.77974,0,19.58,0,0.871,6.205,77.7,1.3459,5,403,14.7,396.9,29.29,11.8
145,2.37934,0,9.69,0,0.871,6.13,77.7,3.1025,5,403,14.7,172.91,27.8,13.8
146,2.15505,0,19.58,0,0.871,5.628,77.7,1.5166,5,403,14.7,169.27,16.65,15.6
147,0.26938,0,9.69,0,0.871,4.926,95.7,3.1025,5,403,19.05,391.71,29.53,14.6
148,2.33099,0,19.58,0,0.871,5.186,93.8,1.5296,5,403,14.7,356.99,28.32,17.8
149,2.73397,0,19.58,0,0.871,5.597,94.9,1.5257,5,403,14.7,351.85,11.265,15.4
150,1.6566,0,9.69,0,0.871,6.122,97.3,1.618,5,335,19.05,372.8,14.1,21.5
151,1.49632,0,9.69,0,0.871,6.205,100,1.5916,5,403,14.7,391.34,13.28,19.6
152,1.12658,0,9.69,1,0.538,5.012,88,1.6102,5,403,14.7,343.28,12.12,15.3
153,2.14918,0,9.69,0,0.871,6.205,98.5,1.6232,5,403,14.7,391.34,11.265,19.4
154,1.41385,0,19.58,1,0.871,6.129,96,1.7494,5,403,19.05,321.02,15.12,17
155,3.53501,0,9.69,1,0.871,6.152,82.6,1.7455,5,403,19.05,391.34,15.02,15.6
156,2.44668,0,19.58,0,0.871,5.272,94,1.7364,5,403,14.7,88.63,16.14,13.1
157,1.22358,0,9.69,0,0.605,6.205,97.4,1.8773,5,403,14.7,363.43,11.265,41.3
158,1.34284,0,19.58,0,0.605,6.066,100,1.7573,5,403,14.7,353.89,6.43,24.3
159,1.42502,0,19.58,0,0.538,6.51,100,1.7659,5,403,14.7,364.31,7.39,23.3
160,1.27346,0,19.58,0,0.605,6.25,92.6,3.1025,5,403,14.7,338.92,5.5,27
161,1.46336,0,19.58,0,0.605,7.489,90.8,1.9709,5,403,14.7,374.43,1.73,50
162,1.83377,0,19.58,1,0.605,7.802,98.2,2.0407,5,403,14.7,389.61,1.92,50
163,1.51902,0,19.58,1,0.605,8.375,93.9,2.162,5,403,14.7,388.45,3.32,50
164,2.24236,0,19.58,0,0.605,6.205,91.8,2.422,5,403,14.7,395.11,11.64,22.7
165,2.924,0,19.58,0,0.605,6.101,93,3.1025,5,403,14.7,240.16,11.265,25
166,2.01019,0,19.58,0,0.605,7.929,96.2,2.0459,5,403,14.7,369.3,3.7,50
167,1.80028,0,19.58,0,0.605,6.205,77.7,2.4259,5,403,19.05,227.61,12.14,23.8
168,0.26938,0,19.58,0,0.538,6.319,96.1,2.1,5,403,14.7,297.09,11.1,23.8
169,0.26938,0,19.58,0,0.605,6.402,95.2,2.2625,5,403,14.7,391.34,11.265,22.3
170,1.20742,0,19.58,0,0.605,6.205,94.6,2.4259,5,403,19.05,292.29,14.43,17.4
171,2.3139,0,19.58,0,0.538,5.88,97.3,2.3887,5,335,14.7,348.13,12.03,19.1
172,0.13914,0,4.05,0,0.51,6.205,77.7,2.5961,5,296,16.6,391.34,14.69,23.1
173,0.09178,0,4.05,0,0.51,6.416,77.7,3.1025,5,296,16.6,395.5,9.04,23.6
174,0.08447,0,4.05,0,0.51,5.859,68.7,2.7019,5,296,16.6,393.23,11.265,22.6
175,0.06664,0,4.05,0,0.51,6.546,33.1,3.1025,5,296,16.6,390.96,5.33,29.4
176,0.07022,0,4.05,0,0.51,6.205,47.2,3.5549,5,296,16.6,393.23,10.11,23.2
177,0.05425,0,4.05,0,0.538,6.315,73.4,3.3175,5,296,19.05,395.6,11.265,24.6
178,0.26938,0,4.05,0,0.51,6.205,74.4,2.9153,5,335,16.6,391.27,6.92,29.9
179,0.0578,0,2.46,0,0.488,6.98,58.4,2.829,3,193,17.8,391.34,5.04,37.2
180,0.06588,0,2.46,0,0.488,7.765,83.3,2.741,3,193,19.05,395.56,7.56,39.8
181,0.26938,0,2.46,0,0.538,6.205,62.2,2.5979,3,335,17.8,396.9,9.45,36.2
182,0.09103,0,2.46,0,0.488,7.155,92.2,2.7006,3,193,17.8,394.12,4.82,37.9
183,0.10008,0,2.46,0,0.488,6.563,95.6,2.847,3,193,19.05,396.9,5.68,32.5
184,0.26938,0,9.69,0,0.488,5.604,89.8,2.9879,5,193,19.05,391,13.98,26.4
185,0.06047,0,2.46,0,0.488,6.205,77.7,3.2797,3,335,17.8,387.11,13.15,29.6
186,0.05602,0,2.46,0,0.488,6.205,53.6,3.1025,3,193,17.8,392.63,11.265,50
187,0.07875,0,3.44,0,0.437,6.782,41.1,3.7886,5,335,15.2,393.87,6.68,32
188,0.12579,45,3.44,0,0.437,6.556,29.1,4.5667,5,398,15.2,382.84,11.265,29.8
189,0.0837,45,3.44,0,0.437,7.185,38.9,4.5667,5,398,19.05,396.9,11.265,34.9
190,0.09068,45,3.44,0,0.437,6.951,21.5,6.4798,5,398,15.2,391.34,11.265,37
191,0.06911,45,3.44,0,0.437,6.739,30.8,6.4798,5,398,15.2,389.71,4.69,30.5
192,0.08664,45,3.44,0,0.437,7.178,26.3,6.4798,5,398,15.2,390.49,11.265,36.4
193,0.26938,60,2.93,0,0.401,6.8,9.9,6.2196,1,265,15.6,393.37,5.03,31.1
194,0.26938,60,2.93,0,0.401,6.604,18.8,6.2196,1,335,15.6,376.7,11.265,29.1
195,0.01381,80,0.46,0,0.538,7.875,32,5.6484,4,335,19.05,394.23,2.97,50
196,0.04011,80,1.52,0,0.404,6.205,34.1,7.309,2,329,12.6,396.9,4.08,33.3
197,0.04666,0,1.52,0,0.404,7.107,77.7,3.1025,5,329,12.6,354.31,11.265,30.3
198,0.26938,80,1.52,0,0.404,7.274,77.7,3.1025,5,329,12.6,391.34,6.62,34.6
199,0.0315,95,9.69,0,0.403,6.975,15.3,7.6534,5,402,17,396.9,4.56,34.9
200,0.01778,95,1.47,0,0.403,7.135,13.9,7.6534,3,402,19.05,384.3,4.45,32.9
201,0.03445,82.5,2.03,0,0.415,6.162,38.4,6.27,2,348,14.7,393.77,11.265,24.1
202,0.02177,0,2.03,0,0.415,6.205,77.7,6.27,2,348,19.05,395.38,11.265,42.3
203,0.26938,95,2.68,0,0.4161,6.205,33.2,5.118,5,224,14.7,391.34,3.81,48.5
204,0.02009,95,2.68,0,0.4161,8.034,31.9,3.1025,4,224,14.7,390.55,2.88,50
205,0.13642,0,10.59,0,0.489,5.891,77.7,3.9454,4,335,19.05,391.34,10.87,22.6
206,0.22969,0,10.59,0,0.489,6.205,52.5,4.3549,4,277,18.6,394.87,10.97,24.4
207,0.25199,0,10.59,0,0.489,5.783,77.7,4.3549,4,277,18.6,389.43,18.06,22.5
208,0.26938,0,10.59,0,0.489,6.064,59.1,4.2392,4,277,18.6,381.32,14.66,24.4
209,0.43571,0,9.69,1,0.489,5.344,100,3.875,4,277,18.6,396.9,11.265,20
210,0.17446,0,10.59,0,0.489,6.205,92.1,3.8771,5,277,18.6,393.25,17.27,21.7
211,0.37578,0,10.59,1,0.489,5.404,88.6,3.665,4,277,18.6,395.24,23.98,19.3
212,0.21719,0,9.69,1,0.489,5.807,77.7,3.6526,4,335,19.05,390.94,16.03,22.4
213,0.14052,0,10.59,0,0.489,6.375,32.3,3.9454,4,277,18.6,391.34,9.38,28.1
214,0.28955,0,10.59,0,0.489,5.412,9.8,3.5875,5,335,19.05,348.93,29.55,23.7
215,0.19802,0,9.69,0,0.489,6.182,42.4,3.9454,4,277,18.6,393.63,9.47,25
216,0.0456,0,13.89,1,0.55,5.888,56,3.1121,5,276,16.4,391.34,13.51,23.3
217,0.07013,0,13.89,0,0.55,6.642,85.1,3.4211,5,276,16.4,391.34,9.69,28.7
218,0.11069,0,13.89,1,0.55,5.951,93.8,2.8893,5,335,16.4,396.9,17.92,21.5
219,0.26938,0,13.89,0,0.55,6.373,92.4,3.3633,5,276,16.4,393.74,10.5,23
220,0.35809,0,6.2,1,0.538,6.951,88.5,2.8617,8,307,17.4,391.7,9.71,26.7
221,0.26938,0,6.2,1,0.507,6.164,91.3,3.048,8,307,19.05,395.24,21.46,21.7
222,0.62356,0,6.2,1,0.538,6.879,77.7,3.2721,8,307,17.4,391.34,9.93,27.5
223,0.26938,0,6.2,0,0.538,6.205,80.8,3.2721,8,307,17.4,396.9,7.6,30.1
224,0.31533,0,9.69,0,0.504,8.266,78.3,2.8944,8,307,17.4,385.05,4.14,44.8
225,0.26938,0,6.2,0,0.538,6.205,83,2.8944,8,335,17.4,391.34,11.265,50
226,0.38214,0,6.2,0,0.538,8.04,86.5,3.2157,8,307,17.4,387.38,3.13,37.6
227,0.41238,0,6.2,0,0.504,6.205,79.9,3.2157,8,335,17.4,372.08,6.36,31.6
228,0.26938,0,9.69,0,0.504,6.205,17,3.3751,8,307,17.4,377.51,3.92,46.7
229,0.44178,0,9.69,0,0.504,6.552,21.4,3.3751,8,307,17.4,380.34,11.265,31.5
230,0.537,0,6.2,0,0.538,5.981,68.1,3.6715,8,307,17.4,378.35,11.65,24.3
231,0.46296,0,6.2,0,0.504,6.205,76.9,3.1025,8,307,17.4,376.14,11.265,31.7
232,0.26938,0,6.2,0,0.507,8.337,77.7,3.1025,8,307,17.4,385.91,2.47,41.7
233,0.33147,0,6.2,0,0.538,8.247,70.4,3.6519,5,307,17.4,378.95,3.95,48.3
234,0.44791,0,9.69,1,0.507,6.726,66.5,3.1025,8,307,19.05,360.2,8.05,29
235,0.26938,0,6.2,0,0.507,6.086,61.5,3.6519,8,307,19.05,376.75,10.88,24
236,0.52058,0,6.2,0,0.507,6.631,76.5,4.148,5,307,17.4,388.45,9.54,25.1
237,0.51183,0,6.2,0,0.507,7.358,71.6,3.1025,8,335,17.4,390.07,4.73,31.5
238,0.08244,30,4.93,0,0.538,6.481,18.5,6.1899,6,300,16.6,379.41,6.36,23.7
239,0.09252,30,4.93,0,0.428,6.205,42.2,6.1899,6,300,16.6,391.34,7.37,23.3
240,0.11329,30,4.93,0,0.428,6.897,77.7,6.3361,6,300,19.05,391.25,11.38,22
241,0.10612,30,9.69,0,0.538,6.095,77.7,6.3361,5,300,19.05,394.62,12.4,20.1
242,0.1029,30,4.93,0,0.538,6.358,52.9,7.0355,6,300,16.6,372.75,11.22,22.2
243,0.12757,30,9.69,0,0.428,6.393,77.7,3.1025,5,300,16.6,374.71,11.265,23.7
244,0.26938,22,5.86,0,0.431,5.593,76.5,7.9549,7,330,19.1,372.49,12.5,17.6
245,0.19133,22,9.69,0,0.431,5.605,70.2,7.9549,7,330,19.1,389.13,18.46,18.5
246,0.33983,22,5.86,0,0.431,6.108,34.9,8.0555,7,330,19.1,390.18,9.16,24.3
247,0.19657,22,5.86,0,0.538,6.226,79.2,8.0555,5,330,19.1,376.14,10.15,20.5
248,0.16439,22,5.86,0,0.431,6.433,49.1,7.8265,7,335,19.1,374.71,9.52,24.5
249,0.19073,0,5.86,0,0.431,6.718,17.5,7.8265,7,330,19.1,393.74,6.56,26.2
250,0.26938,22,5.86,0,0.431,6.487,77.7,3.1025,5,335,19.1,396.28,5.9,24.4
251,0.26938,22,5.86,0,0.431,6.438,8.9,7.3967,7,335,19.1,377.07,3.59,24.8
252,0.08221,22,5.86,0,0.538,6.957,6.8,8.9067,7,330,19.1,386.09,3.53,29.6
253,0.36894,22,5.86,0,0.431,6.205,8.4,8.9067,7,330,19.1,396.9,3.54,42.8
254,0.04819,0,3.64,0,0.392,6.108,32,3.1025,1,315,19.05,392.89,6.57,21.9
255,0.26938,80,3.64,0,0.538,5.876,19.1,9.2203,1,335,16.4,395.18,9.25,20.9
256,0.01538,90,3.75,0,0.538,7.454,34.2,6.3361,3,244,15.9,386.34,3.11,44
257,0.61154,20,3.97,0,0.647,8.704,77.7,1.801,5,264,13,389.7,5.12,50
258,0.66351,20,3.97,0,0.538,7.333,77.7,1.8946,5,264,13,383.29,7.79,36
259,0.65665,20,3.97,0,0.647,6.842,100,3.1025,5,264,13,391.93,6.9,30.1
260,0.54011,0,9.69,0,0.538,7.203,81.8,2.1121,5,264,13,392.8,9.59,33.8
261,0.26938,20,3.97,0,0.647,7.52,89.4,3.1025,5,264,13,388.37,7.26,43.1
262,0.52014,20,9.69,0,0.647,6.205,91.5,2.2885,5,264,13,391.34,5.91,48.8
263,0.82526,20,9.69,0,0.647,7.327,77.7,2.0788,5,264,13,393.42,11.25,31
264,0.55007,20,3.97,0,0.647,7.206,91.6,1.9301,5,264,13,387.89,8.1,36.5
265,0.26938,20,3.97,0,0.647,6.205,62.8,1.9865,5,264,13,392.4,10.45,22.8
266,0.7857,20,9.69,0,0.647,7.014,77.7,2.1329,5,264,19.05,384.07,14.79,30.7
267,0.57834,20,9.69,0,0.575,6.205,67,2.4216,5,264,13,391.34,7.44,50
268,0.5405,20,9.69,0,0.575,7.47,52.6,2.872,5,264,13,390.3,3.16,43.5
269,0.09065,20,6.96,1,0.464,6.205,61.5,3.9175,3,223,18.6,391.34,13.65,20.7
270,0.29916,0,6.96,0,0.464,6.205,42.1,4.429,5,223,18.6,388.65,13,21.1
